,y
0,66.00373208919225
1,73.5947958182328
2,71.98572175874993
3,69.28837580766725
4,64.23221425425714
5,63.0980053058223
6,67.31053914089047
7,64.83403823378032
8,70.92214816483148
9,68.41982221320558
10,72.31815077000462
11,68.00661318168372
12,62.90336777265601
13,73.97277064359591
14,74.33315596866329
15,69.95857737188403
16,75.19232218859213
17,69.92477523337546
18,61.2605064011925
19,68.06592694692354
20,65.04193240563926
21,63.276922069958744
22,76.5110800490568
23,82.03649532716726
24,63.405911048222706
25,66.28938420941323
26,66.7406207344688
27,68.29431461616778
28,65.74232912335606
29,63.803891868905694
30,65.10609304148912
31,76.86734468712741
32,63.860531806742515
33,69.9535021563647
34,67.22822947166055
35,70.07789544714448
36,65.52758229060456
37,68.57210925786607
38,70.08923897972059
39,65.09531954998478
40,71.85854514792537
41,70.11906573137212
42,70.32124340050338
43,72.51660195721425
44,65.00355131527894
45,72.73336621047783
46,67.92184222657087
47,76.26913403358813
48,73.41182685953319
49,68.58440144925667
50,75.42716844947142
51,74.48701180643636
52,77.6668252597571
53,72.03060671623317
54,78.49812090622228
55,79.06161994104333
56,72.49144714579613
57,71.54668733723521
58,64.0790954892844
59,69.51134776225493
60,74.76459991923461
61,67.28089272571073
62,73.72074944764377
63,76.59252111452587
64,73.4316391030957
65,61.188167475810275
66,63.98871431068737
67,66.63296230990937
68,75.62353505122041
69,71.8937175311302
70,63.64360010940891
71,75.50068521506154
72,72.33612075000687
73,64.13594930795749
74,66.37230149281596
75,65.95113110055782
76,70.65067558279475
77,64.81086962379061
78,72.31716460389529
79,63.071918463814
80,74.77936096025373
81,73.0348113591849
82,66.42224016928142
83,66.44053219070285
84,74.88517496459397
85,70.98813291365475
86,62.387439676596316
87,65.06514826253013
88,68.22085583938005
89,67.57964064423147
90,65.98304967160159
91,62.275386557498436
92,68.96516187105671
93,67.17748799521624
94,70.75439910544051
95,71.90056337008981
96,70.00796325289207
97,64.78554086063043
98,59.94009882793705
99,72.69508780609294
100,68.0080025804862
101,69.17302279185019
102,67.86903035672717
103,76.18884524782685
104,80.68789731911387
105,72.6507860779554
106,64.1088514291596
107,75.91644056394242
108,70.01713379790124
